date,type,registration,operator,fatalities,location,country,cat,year
date unk.,Antonov An-12B,T-1206,Indonesian AF,,,Unknown country,U1,unknown
date unk.,Antonov An-12B,T-1204,Indonesian AF,,,Unknown country,U1,unknown
date unk.,Antonov An-12B,T-1201,Indonesian AF,,,Unknown country,U1,unknown
date unk.,Antonov An-12BK,,Soviet AF,,Tiksi Airport (IKS),Russia,A1,unknown
date unk.,Antonov An-12BP,CCCP-11815,Soviet AF,0,Massawa Airport ...,Eritrea,A1,unknown
date unk.,Antonov An-12BP,CCCP-12172,Soviet AF,,,Russia,U1,unknown
date unk.,Antonov An-2,CCCP-N574,"GUSMP, Directorate of Polar Aviation",,unknown,Russia,A1,unknown
date unk.,Antonov An-2,CCCP-01216,Aeroflot,0,Chita region,Russia,A2,unknown
date unk.,Antonov An-24B,RA-47794,Russian AF,0,,Russia,A1,unknown
date unk.,Antonov An-26,01 red,Soviet AF,0,Orenburg Air Base,Russia,O1,unknown
date unk.,Antonov An-26,RA-47415,Russian AF,0,Belgorod Airport...,Russia,A1,unknown
date unk.,Antonov An-26,RA-47414,Aeroflot,0,,Russia,A1,unknown
date unk.,Antonov An-26,5A-DOK,Sin Sad Airlines,,Wadi Bu al Hashm,Libya,A1,unknown
date unk.,Antonov An-2R,-,PZL-Mielec,0,Mielec,Poland,O1,unknown
date unk.,Antonov An-2R,YU-BFR,Privredna Avijacija Osijek,,,Unknown country,U1,unknown
date unk.,Antonov An-2T,CCCP-01196,"Aeroflot, Azerbaijan",0,,Unknown country,O1,unknown
date unk.,Antonov An-2T,CCCP-28909,"Aeroflot, Azerbaijan",0,,?,O1,unknown
date unk.,Antonov An-2T,CCCP-98313,"Aeroflot, Azerbaijan",0,,?,O1,unknown
date unk.,Antonov An-2T,CCCP-28895,"Aeroflot, Azerbaijan",0,,?,O1,unknown
date unk.,Antonov An-2T,CCCP-35494,"Aeroflot, Azerbaijan",0,,?,O1,unknown
date unk.,Antonov An-32,K2688,Indian AF,0,Kalaikunda Air F...,India,A1,unknown
date unk.,Antonov An-32A,-,Antonov Design Bureau,,,Unknown country,A1,unknown
date unk.,Avia 14,LZ-ILG,Balkan Bulgarian,0,Sofia-Vrazhdebna...,Bulgaria,O1,unknown
date unk.,BN-2A Islander,HP-556XI,Unknown,,,Unknown country,U1,unknown
